sehir,acik_adres,ilce,mahalle,nufus_yogunlugu,nufus,yuzolcumu,maliyet
İSTANBUL,SOĞANLIK MAH. SOĞANLIK CAD. D-100 KUZEY YANYOL CAD. B BLOK APT. NO:72/181 KARTAL,KARTAL,SOGANLIK,15196.0,26713,1.8,363000
İSTANBUL,SARAY MAH. SITE YOLU SOKAK NO:5 ANEL İŞ MERKEZI ZEMIN KAT ÜMRANIYE / İSTANBUL,UMRANIYE,SARAY,1287.0,2307,1.8,372000
İSTANBUL,MURATPAŞA MAHALLESİ ESKİ EDİRNE ASFALTI CAD. NO: 1 /19 BAYRAMPAŞA/İSTANBUL,BAYRAMPASA,MURATPASA,42019.0,33908,0.81,300000
İSTANBUL,ATAKENT MAHALLESI ÇIÇEKLI VADI CAD. NO:1 Z38 KÜÇÜKÇEKMECE/İSTANBUL,KUCUKCEKMECE,ATAKENT,10949.0,93229,8.5,315000
İSTANBUL,BÜYÜKDERE CAD. N0:127 ASTORIA AVM ZEMIN KAT NO:13 ESENTEPE/İSTANBUL,SISLI,ESENTEPE,4514.0,7056,1.6,543000
İSTANBUL,KOÇMAN CAD. ZIYAL PLAZA NO:54/3 GÜNEŞLI/İSTANBUL,BAGCILAR,15 TEMMUZ,26817.0,50755,1.9,315000
İSTANBUL,"15 TEMMUZ MAH. BAHAR CADDESI, DISKAPI NO:45, ISYERI NO: 1B80",BAGCILAR,15 TEMMUZ,26817.0,50755,1.9,315000
İSTANBUL,ABDURRAHMANGAZI MAH. ATLAS PARK AVM ZEMIN KAT ZK-21 NOLU MAĞAZA SULTANBEYLI / ISTANBUL,SULTANBEYLI,ABDURRAHMANGAZI,21049.0,29276,1.4,216000
İSTANBUL,CUMHURİYET MAHALLESİ GÜRPINAR YOLU CAD. NO:1 BÜYÜKÇEKMECE/İSTANBUL,BUYUKCEKMECE,CUMHURIYET,3195.0,7553,2.4,267000
İSTANBUL,ATAKOY 7-8-9-10. KISIM MAHALLESI ÇOBANÇEŞME E-5 YANYOL CADDESI 2 APT NO:8/2A/4 ATAKOY,BAKIRKOY,ATAKOY 7-8-9-10. KISIM,11918.0,24444,2.1,525000
İSTANBUL,"TOPCULAR MAH. OSMAN GAZI CD NO: 3, AXIS AVM KAT 1, 68 NO'LU BAGIMSIZ BOLUM, EYUP,ISTANBUL",EYUPSULTAN,TOPCULAR,2820.0,4673,1.7,471000
İSTANBUL,"RUMELIFENERI CADDESI, MAVROMOLOS SOK. 8/B NO:42-43",SARIYER,ZEKERIYAKOY,1623.0,18867,11.6,819000
İSTANBUL,"BEŞYOL MAH. İNÖNÜ CAD. NO:38 KÜÇÜKÇEKMECE, ISTANBUL",KUCUKCEKMECE,BESYOL,13817.0,4092,0.3,315000
İSTANBUL,KOZYATAGI MAH. SEMSETTIN GÜNALTAY CADDESI NO: 96 /5 KADIKOY,KADIKOY,KOZYATAGI,23691.0,34164,1.4,567000
İSTANBUL,TEM AVRUPA OTOYOLU GOZTEPE CIKISI GOZTEPE MAHALLESI NO: 1 / B105 BAGCILAR / ISTANBUL,BAGCILAR,GOZTEPE,23064.0,37553,1.6,315000
İSTANBUL,GENERAL ASIM GÜNDÜZ CADDESI NO: 26 KADIKOY İSTANBUL,KADIKOY,CAFERAGA,19324.0,23977,1.2,567000
İSTANBUL,"BAHCESEHIR 2.KISIM MAHALLESI, ESENKENT STRADA BAHCSEHIR A6 BIOK NO:108AD DUKKAN NO:100 BAŞAKŞEHIR/İSTANBUL",BASAKSEHIR,BAHCESEHIR 2. KISIM,4770.0,41437,8.7,345000
İSTANBUL,"DEREKÖY MEVKII, SÜZER BULVARI ŞEHRI BAZAR AVM G BLOK NO:11 BAHÇEŞEHIR/İSTANBUL",BASAKSEHIR,BAHCESEHIR 2. KISIM,4770.0,41437,8.7,345000
İSTANBUL,MAHMUTBEY MAH. TAŞOCAĞI YOLU NO:19 BAĞIMSIZ BOLUM NO:F2 GIUNESLI,BAGCILAR,MAHMUTBEY,5225.0,24596,4.7,315000
İSTANBUL,"KARDESLER, BASAK MAH. RESAT NURI GUNTEKIN CAD. NO:1-3B, D:C BLOK,34480 BASAKSEHIR / ISTANBUL",BASAKSEHIR,BASAK,5851.0,70258,12.0,345000
İSTANBUL,BASAKSEHIR MAH. G-432 BULVARI NO: 2M/Z1-Z2 BASAKSEHIR/ISTANBUL,BASAKSEHIR,BASAKSEHIR,7185.0,58445,8.1,345000
İSTANBUL,GÖZTEPE MAHALLESİ BATIŞEHİR CAD. BATIŞEHİR SIT. G3 BLOK APT. NO: 6 A BAĞCILAR/İSTANBUL,BAGCILAR,GOZTEPE,23064.0,37553,1.6,315000
İSTANBUL,HALIT ZIYA USAKLIGIL CAD. ACIBADEM BAKIRKOY HASTANESI NO:1 34140 BAKIRKÖY ISTANBUL,BAKIRKOY,ZEYTINLIK,18610.0,5376,0.29,525000
İSTANBUL,CEVDETPAŞA CAD. NO:30 BEBEK/BEŞIKTAŞ/İSTANBUL,BESIKTAS,BEBEK,4880.0,5891,1.2,777000
İSTANBUL,BARBAROS BULVARI NO:7 YILDIZ İŞ HANI GIRIŞ KATI BEŞIKTAŞ/İSTANBUL,BESIKTAS,BALMUMCU,5988.0,3889,0.65,777000
İSTANBUL,ÇIRAĞAN CAD. OSMANPAŞA MEKTEBI SOKAK NO: 4 – 6 BAHÇEŞEHIR ÜNI. C KAMPÜSÜ BEŞIKTAŞ/İSTANBUL,BESIKTAS,YILDIZ,5581.0,6232,1.1,777000
İSTANBUL,"YAVUZ SULTAN SELIM BLV HILAL KONAKLARI SITE C2 APT NO 32AA BUYUKCEKMECE,ISTANBUL",BUYUKCEKMECE,PINARTEPE,4962.0,18425,3.7,267000
İSTANBUL,"ADNAN KAHVECI MAH. YAVUZ SULTAN SELIM BULVARI .NO:53A BEYLIKDUZU, ISTANBUL, 34528",BEYLIKDUZU,ADNAN KAHVECI,18865.0,86584,4.6,291000
İSTANBUL,"BARBAROS HAYRETTIN PASA MAH. SEHITLER CAD. NO 5B/5C ESENYURT, ISTANBUL, 34515",ESENYURT,BARBAROS HAYRETTIN PASA,19359.0,21017,1.1,246000
İSTANBUL,ADNAN KAHVECI MAH. ANADOLU CAD. NO:30 ZEMIN KAT NO:26-27 BEYLIKDÜZÜ / İSTANBUL,BEYLIKDUZU,ADNAN KAHVECI,18865.0,86584,4.6,291000
İSTANBUL,BARIŞ MAH. SAMSUN CADDESI NO: 14/1 BEYLIKDÜZÜ,BEYLIKDUZU,BARIS,20286.0,51900,2.6,291000
İSTANBUL,BARIŞ MAH. SAKARYA CAD. BEYLIKDÜZÜ MIGROS AVM NO: 1 BEYLIKDÜZÜ/İSTANBUL,BEYLIKDUZU,BARIS,20286.0,51900,2.6,291000
İSTANBUL,ATAKÖY KONAKLARI ADNAN KAHVECI BULVARI 6. KISIM ATAKÖY ALIŞVERIŞ VE YAŞAM MERKEZI NO: ZK2-10 ATAKÖY/BAKIRKÖY/İSTANBUL,BAKIRKOY,ATAKOY 2-5-6. KISIM,11131.0,13671,1.2,525000
İSTANBUL,MERKEZ MAH. ABIDE-I HÜRRIYET CAD. BOLKAN CENTER A-B-C BLOKLAR APT. NO: 211/29 ŞIŞLI,SISLI,MERKEZ,12072.0,13654,1.1,543000
İSTANBUL,CUMHURIYET MAHALLESI GÖKKUŞAĞI SOKAK BOMONTI APARTMANI NO:15 A / ŞIŞLI / İSTANBUL,SISLI,CUMHURIYET,19941.0,7255,0.36,543000
İSTANBUL,İSKELE CAD. NO : 4/4   BOSTANCI/KADIKÖY/İSTANBUL,KADIKOY,BOSTANCI,17671.0,31450,1.8,567000
İSTANBUL,KÜÇÜKBAKKALKÖY  MAH. DUDULLU YOLU CAD. NO: 25/27 ATAŞEHIR/İSTANBUL,ATASEHIR,KUCUKBAKKALKOY,12777.0,29032,2.3,486000
İSTANBUL,ATAKÖY SAHIL YOLU RAUF ORBAY CAD. GALERIA AVM DIŞ CAFE MAHAL NO : 6/10A 34710 ATAKÖY 1. KISIM/İSTANBUL,BAKIRKOY,ATAKOY 1. KISIM,2622.0,1667,0.64,525000
İSTANBUL,İSTANBUL KÜLTÜR ÜNIVERSITESI ATAKÖY YERLEŞKESI ATAKÖY 9 VE 10. KISIMLAR D100 YAN YOL KAT: -1 BAKIRKÖY/İSTANBUL,BAKIRKOY,ATAKOY 7-8-9-10. KISIM,11918.0,24444,2.1,525000
İSTANBUL,FATIH SULTAN MEHMET MAH. BALKAN CAD. NO: 56 BAĞIMSIZ BÖLÜM NO : 92 ÜMRANIYE/İSTANBUL,UMRANIYE,FATIH SULTAN MEHMET,955.0,3976,4.2,372000
İSTANBUL,ATATÜRK MAHALLESİ KORDONBOYU CAD. NO: 59 A BÜYÜKÇEKMECE/İSTANBUL,BUYUKCEKMECE,ATATURK,15106.0,18711,1.2,267000
İSTANBUL,"KAZLIÇEŞME MAHALLESI, KENNEDY CAD. NO: 52DA, 52DB, 52DC ZEYTINBURNU, İSTANBUL",ZEYTINBURNU,KAZLICESME,973.0,2078,2.1,360000
İSTANBUL,HÜRRIYET MAHALLESI DR. CEMIL BENGÜ SOKAK NO:4 B KAĞITHANE / İSTANBUL,KAGITHANE,HURRIYET,44854.0,20219,0.45,516000
İSTANBUL,SARIGAZI MAH ATATÜRK CAD NO.16 ÇAMSAN PARK AVYM İÇ KAPI NO: 6 SANCAKTEPE /İSTANBUL,SANCAKTEPE,SARIGAZI,17699.0,21755,1.2,252000
İSTANBUL,YENI LONDRA ASFALTI İNCIRLI DURAĞI ÖMÜR PLAZA MAĞAZA NO: Z.03 BAHÇELIEVLER/BAKIRKÖY/İSTANBUL,BAHCELIEVLER,BAHCELIEVLER,19452.0,61832,3.2,264000
İSTANBUL,"ZEYTINLIK MAH. FIŞEKHANE CAD. NO:62 CAPACITY AVM, 1K36 BAKIRKÖY/İSTANBUL",BAKIRKOY,ZEYTINLIK,18610.0,5376,0.29,525000
İSTANBUL,"NISPETIYE MAH. AYTAR CADDESI NO:2 LEVENT,BEŞIKTAŞ/ İSTANBUL",BESIKTAS,NISBETIYE,12153.0,12435,1.0,777000
İSTANBUL,HALIT ZIYA USAKLIGIL CAD. NO:1 CAROUSEL AVM GIRIŞ KAT D1 NUMARALI MAĞAZA BAKIRKOY İSTANBUL,BAKIRKOY,ZEYTINLIK,18610.0,5376,0.29,525000
İSTANBUL,"CARREFOUR ANADOLU HISARI: GÖZTEPE MAH. EKSEN ÇIKMAZI SOK. NO:13/A, BEYKOZ/İSTANBUL",BEYKOZ,GOZTEPE,3827.0,10016,2.6,363000
İSTANBUL,AKAT MAHALLESI UĞUR MUMCU CADDESI NO: 8/12 BEŞIKTAŞ / İSTANBUL,BESIKTAS,AKATLAR,10356.0,15624,1.5,777000
İSTANBUL,"USKUMRUKOY MAH, 1. CADDE NO: 9/A SARIYER,ISTANBUL",SARIYER,USKUMRUKOY,488.0,8178,16.8,819000
İSTANBUL,MECLISI MEBUSAN CAD. ÇBS İŞ HANI NO:47 FINDIKLI/BEYOĞLU/İSTANBUL,BEYOGLU,PURTELAS,17346.0,1872,0.11,582000
İSTANBUL,"KILIÇALI PAŞA MAH. MECLIS-I MEBUSAN CAD. NO:8/7B, 34433, BEYOĞLU, İSTANBUL",BEYOGLU,KILICALIPASA,10321.0,2476,0.24,582000
İSTANBUL,MEHMET AKIF ERSOY MAH. A BLOK ÇENGELKÖY ÜSKÜDAR,USKUDAR,MEHMET AKIF ERSOY,19536.0,20960,1.1,393000
İSTANBUL,19 MAYIS MAH. BÜYÜKDERE CAD. NO:22 K:2 MĞZ.NO:BB 89 BLOK 120 CEVAHIR ALIŞVERIŞ VE EĞLENCE MERKEZI ŞIŞLI/İSTANBUL,SISLI,19 MAYIS,26284.0,11458,0.44,543000
İSTANBUL,19 MAYIS MAH. BÜYÜKDERE CAD.NO: 22/2 A BLOK: 2 ŞIŞLI/İSTANBUL,SISLI,19 MAYIS,26284.0,11458,0.44,543000
İSTANBUL,KEMANKEŞ KARA MUSTAFA PAŞA MAHALLESI KEMANKEŞ CADDESI NO:40A-2,BEYOGLU,KEMANKES KARA MUSTAFA PASA,905.0,128,0.14,582000
İSTANBUL,ZAFER MAH. DOĞAN ARASLI BULVARI NO : 79 /1 - 139 - 140 ESENYURT / İSTANBUL,ESENYURT,ZAFER,7167.0,11807,1.6,246000
İSTANBUL,KEMANKEŞ KARA MUSTAFA PAŞA MAHALLESI KEMANKEŞ CADDESI NO:40A-2,BEYOGLU,KEMANKES KARA MUSTAFA PASA,905.0,128,0.14,582000
İSTANBUL,"MERKEZ MAHALLESI, CAVUSBASI CADDESI, NO:84, CAMLIYAKA PROJESI F-9 NO'LU DUKKAN, ÇEKMEKOY/ISTANBUL",CEKMEKOY,MERKEZ,2925.0,24594,8.4,312000
İSTANBUL,GÖZTEPE MAH. BAĞDAT CAD. ALEMDAR APT. NO:237 / 2 KADIKÖY/İSTANBUL,KADIKOY,GOZTEPE,19792.0,35260,1.8,567000
İSTANBUL,OSMANIYE MAH. EKREM KURT BULV. E-5 SAHIL YOLU ÜZERI MS-016 BAKIRKÖY/İSTANBUL,BAKIRKOY,OSMANIYE,10086.0,24126,2.4,525000
İSTANBUL,ASMALI MESCIT MAH. İSTIKLAL CAD. NO: 180/3A BEYOĞLU/İSTANBUL,BEYOGLU,ASMALIMESCIT,5375.0,463,0.086,582000
İSTANBUL,MEŞRUTIYET MAH. BÜYÜKDERE CAD. CEVAHIR ALIŞVERIŞ VE EĞLENCE MERKEZI NO:22 ZEMIN KAT MĞZ NO:231 ŞIŞLI/İSTANBUL,SISLI,MESRUTIYET,26446.0,7922,0.3,543000
İSTANBUL,"MEHMET AKIF MAHALLESI, BASIN EKSPRES YOLU, BAHARIYE CAD. NO:31, 34303 HALKALI / KÜÇÜKÇEKMECE",KUCUKCEKMECE,MEHMET AKIF,48041.0,53351,1.1,315000
İSTANBUL,ALKENT 2000 MAH. HADIMKÖY YOLU CAD. C BLOK APT. NO: 151/1E BUYUKÇEKMECE / İSTANBUL,BUYUKCEKMECE,ALKENT,712.0,4635,6.5,267000
İSTANBUL,SANAYI MAH. 1655 SK. NO : 6  AVM KAPI NO: 64 ESENYURT/İSTANBUL,ESENYURT,ESENKENT,13117.0,10183,0.78,246000
İSTANBUL,HACIAHMET MAH. KURTULUŞ DERESI CAD. NO:31 34440 BEYOĞLU/İSTANBUL,BEYOGLU,HACIAHMET,45817.0,15383,0.34,582000
İSTANBUL,YEŞILKÖY MAH. ATATÜRK CAD. NO:10 DÜNYA TICARET MERKEZI/İSTANBUL,BAKIRKOY,YESILKOY,1794.0,23785,13.3,525000
İSTANBUL,"CUMHURIYET CAD. DAĞ APT. NO:34 ZEMIN KAT, ELMADAĞ/ŞIŞLI/İSTANBUL",SISLI,CUMHURIYET,19941.0,7255,0.36,543000
İSTANBUL,"UNALAN MAH. AYAZMA CAD NO:78 RETAIL 2 KATI, MAĞAZA NO: B4-S-224, USKUDAR, ISTANBUL, 34700",USKUDAR,UNALAN,22820.0,34162,1.5,393000
İSTANBUL,"UNALAN MAH. AYAZMA CAD. NO: 78 PODYUM KATI, MAĞAZA NO: B1 - S - 99, USKUDAR 34700",USKUDAR,UNALAN,22820.0,34162,1.5,393000
İSTANBUL,"UNALAN MAH. AYAZMA CAD NO:78 RETAIL 1 KATI, MAĞAZA NO: B3-S-216, USKUDAR, ISTANBUL, 34700",USKUDAR,UNALAN,22820.0,34162,1.5,393000
İSTANBUL,"D100, CELEBI MEHMET CAD. D:33A, MARMARAPARK AVM, 1.KAT 336 NO'LU MAGAZA 34515 ESENYURT /ISTANBUL",ESENYURT,MEHTERCESME,59240.0,36090,0.61,246000
İSTANBUL,NISPETIYE CAD. NO: 28 MĞZ.NO:1-3 ETILER/İSTANBUL,BESIKTAS,ETILER,9854.0,12023,1.2,777000
İSTANBUL,KAHVEALTI MEVKII GÖKTÜRK KÖYÜ İSTANBUL CAD. NO.12 / ALIŞVERIŞ EĞLENCE MERKEZI MĞZ NO: G-1 KEMERBURGAZ/EYÜP/İSTANBUL,EYUPSULTAN,GOKTURK MERKEZ,1261.0,36843,29.2,471000
İSTANBUL,ÜNIVERSITE MAH. FIRUZKOY BULVARI NO:22/3 L-M AVCILAR/İSTANBUL,AVCILAR,UNIVERSITE,7623.0,21621,2.8,252000
İSTANBUL,OTAKÇILAR CAD.NO: 78 ZEMIN KAT A BLOK NO: Z01-A EYÜP / İSTANBUL,EYUPSULTAN,DEFTERDAR,5012.0,4709,0.94,471000
İSTANBUL,HARMAN SOK. FLY INN ALIŞVERIŞ VE YAŞAM MERKEZI NO:48 MĞZ NO:73 BAKIRKÖY/İSTANBUL,BAKIRKOY,SENLIKKOY,9388.0,28206,3.0,525000
İSTANBUL,KOCATEPE MAHALLESİ PAŞA CAD. FORUM İSTANBUL AVM SIT. FORUM İSTANBUL APT. NO: 3 -5/1011 BAYRAMPAŞA/İSTANBUL,BAYRAMPASA,KOCATEPE,12394.0,21448,1.7,300000
İSTANBUL,"KOCATEPE MAH. PAŞA CAD. NO:3, FORUM İSTANBUL AVM GF 90-91 BAYRAMPAŞA/İSTANBUL",BAYRAMPASA,KOCATEPE,12394.0,21448,1.7,300000
İSTANBUL,"KOCATEPE MAH. PAŞA CAD. NO:3, FORUM İSTANBUL AVM GF 179 BAYRAMPAŞA/İSTANBUL",BAYRAMPASA,KOCATEPE,12394.0,21448,1.7,300000
İSTANBUL,"DIKILITAS MAHALLESI, AYAZMADERE CADDESI, NO:10F BESIKTAS / ISTANBUL",BESIKTAS,DIKILITAS,26466.0,16893,0.64,777000
İSTANBUL,YALCIN KORES CADDESI CAVDAR SOKAK NO:1 BAGCILAR- ISTANBUL,BAGCILAR,BAGLAR,11425.0,15683,1.4,315000
İSTANBUL,FIL KÖPRÜSÜ CADDESI NO:4 EYÜP,EYUPSULTAN,EMNIYETTEPE,12719.0,9397,0.74,471000
İSTANBUL,EMIN SINAN MAHALLESI YENIÇERILER CADDESI NO: 21/A FATIH / İSTANBUL,FATIH,EMINSINAN,18549.0,1225,0.066,348000
İSTANBUL,DIKILITAS MAH. EMIRHAN CAD. NO: 111/B BLOK GARANTI BANKASI EĞITIM MÜDÜRLÜĞÜ BEŞIKTAŞ,BESIKTAS,DIKILITAS,26466.0,16893,0.64,777000
İSTANBUL,"HASAN HALIFE MAHALLESI, SARI ABDULLAH EFENDI SOKAĞI NO:3 FATIH AVM Z21 FATIH/İSTANBUL",FATIH,ISKENDERPASA,39543.0,16686,0.42,348000
İSTANBUL,YILDIZ POSTA CAD. ŞIŞIK APT.NO:44/3 GAYRETTEPE/İSTANBUL,BESIKTAS,GAYRETTEPE,24288.0,14530,0.6,777000
İSTANBUL,"KARADENIZ MAH. ESKI EDIRNE ASFALTI CAD. 408F BLOK , B2-115 NO'LU BAGIMSIZ BOLUM  GAZIOSMANPASA/ISTANBUL",GAZIOSMANPASA,KARADENIZ,53003.0,73225,1.4,387000
İSTANBUL,GÖKTÜRK MERKEZ MAHALLESI 2.KAYIN SOKAK NO:2/A-2/B EYÜPSULTAN / İSTANBUL,EYUPSULTAN,GOKTURK MERKEZ,1261.0,36843,29.2,471000
İSTANBUL,"FENERYOLU MAH. FAHRETTIN KERIM GOKAY CADDESI GAZI MUHTARPASA SOKAK NO:116 ZEMIN KAT BAĞIMSIZ BÖLÜM: 1-2, KADIKOY ISTANBUL",KADIKOY,FENERYOLU,24161.0,24488,1.0,567000
İSTANBUL,ŞENLIKKÖY MAH. HALKALI CAD. NO:93 AQUA FLORYA AVM ZEMIN KAT 19-20 NOLU BAĞIMSIZ BÖLÜMLER FLORYA/İSTANBUL,BAKIRKOY,SENLIKKOY,9388.0,28206,3.0,525000
İSTANBUL,HACI MEHMET EFENDI CAD. NO:23/1-2 SELAMIÇEŞME KADIKÖY/İSTANBUL,KADIKOY,FENERBAHCE,10440.0,17657,1.7,567000
İSTANBUL,ZAFER MAHALLESİ ADİLE NAŞİT BLV. BLOK 10 APT. NO: 54 -58AAA ESENYURT/İSTANBUL,ESENYURT,ZAFER,7167.0,11807,1.6,246000
İSTANBUL,ŞEMŞETTIN GÜNALTAY CAD. NO:158/A KAZASKER/KADIKÖY/İSTANBUL,KADIKOY,19 MAYIS,22695.0,30310,1.3,567000
İSTANBUL,"AYDINEVLER MAHALLESI, SITELER YOLU SK. NO:1 MAĞAZA NO:B1-220/B1-221 34765 MALTEPE",MALTEPE,AYDINEVLER,14180.0,20099,1.4,390000
İSTANBUL,AYDINEVLER MAHALLESİ SİTELER YOLU SK. HİLLTOWN AVM. APT. NO: 1 A/1 MALTEPE/İSTANBUL,MALTEPE,AYDINEVLER,14180.0,20099,1.4,390000
İSTANBUL,ESENTEPE MAH. MUSTAFA KEMAL CAD. NO:66 B BLOK BAĞ BÖLÜM NO:8 KARTAL / İSTANBUL,KARTAL,ESENTEPE,10531.0,26844,2.5,363000
İSTANBUL,REŞITPAŞA MAH. ESKI BÜYÜKDERE CAD. NO: 8 ZEMIN KAT  SARIYER / İSTANBUL,SARIYER,RESITPASA,6171.0,17903,2.9,819000
İSTANBUL,"ERENKÖY MAHALLESI, İSKELE SOKAK, HÜSEYIN AYAZ APARTMANI, NO:22/1  34728 KADIKÖY-İSTANBUL",KADIKOY,ERENKOY,23013.0,31098,1.4,567000
İSTANBUL,TAHTAKALE MAH.FARUK NAFIZ ÇAMLIBEL CADDESI NO: 2AE AVCILAR / İSTANBUL,AVCILAR,TAHTAKALE,4657.0,53209,11.4,252000
İSTANBUL,"NEW AIRPORT INTERNATIONAL E31: TAYAKADIN MAHALLESI, TERMINAL CADDESI. HAVALIMANI TERMINAL BINASI APT. NO:1 - E KATI- E31 - DIŞ HATLAR HAVA TARAFI. MAHAL KODU: 6_E_0850 ARNAVUTKÖY/İSTANBUL",ARNAVUTKOY,TAYAKADIN,149.0,5242,35.3,201000
İSTANBUL,KORDONBOYU MH. ANKARA CD. NO: 145 KARTAL,KARTAL,KORDONBOYU,6099.0,11356,1.9,363000
İSTANBUL,ŞAŞKINBAKKAL MAHALLESI NOTER SOK. NO 18/1 KADIKÖY-ISTANBUL,KADIKOY,SUADIYE,15157.0,22484,1.5,567000
